STDR_YM,CTPRVN_NM,SIGNGU_NM,ADSTRD_NM,INDUTY_LCLAS_CODE,INDUTY_MLSFC_CODE,INDUTY_LCLAS_NM,INDUTY_MLSFC_NM,PRCSS_ENTRPRS_SE_CODE,PRCSS_ENTRPRS_SE,PDSMLPZ_SCTN_CODE,PDSMLPZ_SCTN,TOT_ENTRPRS_CO,EMPLY_CO,EMPLY_AVRG_CO,ECNY_CO,ECNY_AVRG_CO,RETIRE_CO,RETIRE_AVRG_CO,WAGE_AVRG_AM,REGIST_DE,OPERTOR_NM
2015-11,서울,강서구,화곡6동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,10,10년 이상 20년 미만,1,7,7.0,0,0.0,0,0.0,30873143.0,2020-10-20,KEDSYS
2015-11,서울,강서구,화곡8동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,1,1,1.0,0,0.0,0,0.0,0.0,2020-10-20,KEDSYS
2015-11,서울,강서구,방화제2동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,40,40년 이상 50년 미만,1,19,19.0,0,0.0,2,2.0,13088421.0,2020-10-20,KEDSYS
2015-11,서울,광진구,자양2동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,0,1년 미만,1,11,11.0,2,2.0,0,0.0,29344242.0,2020-10-20,KEDSYS
2015-11,서울,구로구,고척1동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,60,60년 이상 70년 미만,1,19,19.0,0,0.0,0,0.0,20803509.0,2020-10-20,KEDSYS
2015-11,서울,구로구,구로3동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,10,10년 이상 20년 미만,1,3,3.0,0,0.0,0,0.0,27447111.0,2020-10-20,KEDSYS
2015-11,서울,구로구,구로4동,Q,Q86,보건업 및 사회복지 서비스업,보건업,98,판단제외,1,1년 이상 2년 미만,1,8,8.0,0,0.0,0,0.0,26555333.0,2020-10-20,KEDSYS
2015-11,서울,금천구,독산3동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,3,중기업,20,20년 이상 30년 미만,1,28,28.0,1,1.0,0,0.0,16887429.0,2020-10-20,KEDSYS
2015-11,서울,노원구,공릉1동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,5,5년 이상 10년 미만,1,36,36.0,5,5.0,3,3.0,9449926.0,2020-10-20,KEDSYS
2015-11,서울,노원구,상계1동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,30,30년 이상 40년 미만,1,33,33.0,2,2.0,0,0.0,24002424.0,2020-10-20,KEDSYS
2015-11,서울,노원구,상계2동,Q,Q86,보건업 및 사회복지 서비스업,보건업,4,소기업,5,5년 이상 10년 미만,1,24,24.0,2,2.0,3,3.0,17472111.0,2020-10-20,KEDSYS
2015-11,서울,동작구,사당2동,Q,Q86,보건업 및 사회복지 서비스업,보건업,4,소기업,2,2년 이상 5년 미만,1,8,8.0,1,1.0,1,1.0,25642000.0,2020-10-20,KEDSYS
2015-11,서울,동작구,상도제1동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,99,미분류,1,15,15.0,0,0.0,1,1.0,30230044.0,2020-10-20,KEDSYS
2015-11,서울,마포구,서교동,Q,Q86,보건업 및 사회복지 서비스업,보건업,98,판단제외,0,1년 미만,1,5,5.0,0,0.0,0,0.0,25172800.0,2020-10-20,KEDSYS
2015-11,서울,서초구,잠원동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,1,1,1.0,0,0.0,0,0.0,0.0,2020-10-20,KEDSYS
2015-11,서울,서초구,방배4동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,1,4,4.0,0,0.0,0,0.0,22556667.0,2020-10-20,KEDSYS
2015-11,서울,서초구,서초3동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,10,10년 이상 20년 미만,1,3,3.0,0,0.0,0,0.0,25640000.0,2020-10-20,KEDSYS
2015-11,서울,성북구,안암동,Q,Q86,보건업 및 사회복지 서비스업,보건업,3,중기업,30,30년 이상 40년 미만,1,105,105.0,4,4.0,3,3.0,29835606.0,2020-10-20,KEDSYS
2015-11,서울,성북구,월곡제2동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,10,10년 이상 20년 미만,1,14,14.0,1,1.0,0,0.0,19533905.0,2020-10-20,KEDSYS
2015-11,서울,송파구,잠실본동,Q,Q86,보건업 및 사회복지 서비스업,보건업,4,소기업,2,2년 이상 5년 미만,1,3,3.0,0,0.0,0,0.0,28683556.0,2020-10-20,KEDSYS
2015-11,서울,양천구,신월3동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,5,5년 이상 10년 미만,1,1,1.0,0,0.0,0,0.0,0.0,2020-10-20,KEDSYS
2015-11,서울,양천구,신월7동,Q,Q86,보건업 및 사회복지 서비스업,보건업,4,소기업,1,1년 이상 2년 미만,1,2,2.0,0,0.0,0,0.0,0.0,2020-10-20,KEDSYS
2015-11,서울,용산구,청파동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,30,30년 이상 40년 미만,1,5,5.0,0,0.0,0,0.0,21582400.0,2020-10-20,KEDSYS
2015-11,서울,용산구,원효로2동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,1,1년 이상 2년 미만,1,1,1.0,0,0.0,0,0.0,0.0,2020-10-20,KEDSYS
2015-11,서울,은평구,녹번동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,2,33,16.5,1,0.5,0,0.0,17132910.0,2020-10-20,KEDSYS
2015-11,서울,종로구,부암동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,30,30년 이상 40년 미만,1,5,5.0,0,0.0,0,0.0,27838933.0,2020-10-20,KEDSYS
2015-11,서울,종로구,이화동,Q,Q86,보건업 및 사회복지 서비스업,보건업,98,판단제외,30,30년 이상 40년 미만,1,8051,8051.0,101,101.0,93,93.0,43345154.0,2020-10-20,KEDSYS
2015-11,서울,종로구,청운효자동,Q,Q86,보건업 및 사회복지 서비스업,보건업,4,소기업,10,10년 이상 20년 미만,1,23,23.0,0,0.0,3,3.0,29840812.0,2020-10-20,KEDSYS
2015-11,서울,종로구,종로5.6가동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,5,5년 이상 10년 미만,1,5,5.0,0,0.0,0,0.0,22115200.0,2020-10-20,KEDSYS
2015-11,서울,종로구,종로1.2.3.4가동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,1,5,5.0,0,0.0,0,0.0,40936533.0,2020-10-20,KEDSYS
2015-11,서울,중랑구,상봉2동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,0,1년 미만,1,4,4.0,0,0.0,0,0.0,17544000.0,2020-10-20,KEDSYS
2015-11,서울,서대문구,남가좌1동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,1,1년 이상 2년 미만,1,3,3.0,0,0.0,0,0.0,13475556.0,2020-10-20,KEDSYS
2015-11,서울,영등포구,문래동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,10,10년 이상 20년 미만,1,73,73.0,2,2.0,0,0.0,18274886.0,2020-10-20,KEDSYS
2015-11,서울,영등포구,여의동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,2,22,11.0,0,0.0,1,0.5,15146730.0,2020-10-20,KEDSYS
2015-11,서울,영등포구,양평1동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,10,10년 이상 20년 미만,1,15,15.0,1,1.0,1,1.0,24808356.0,2020-10-20,KEDSYS
2015-11,서울,영등포구,영등포동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,1,3,3.0,0,0.0,0,0.0,21080000.0,2020-10-20,KEDSYS
2015-11,서울,강남구,세곡동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,3,중기업,5,5년 이상 10년 미만,1,23,23.0,2,2.0,0,0.0,34640928.0,2020-10-20,KEDSYS
2015-11,서울,강남구,세곡동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,10,10년 이상 20년 미만,1,11,11.0,2,2.0,2,2.0,21654061.0,2020-10-20,KEDSYS
2015-11,서울,중구,신당5동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,10,10년 이상 20년 미만,1,40,40.0,1,1.0,1,1.0,24171467.0,2020-10-20,KEDSYS
2015-11,서울,강남구,청담동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,5,5년 이상 10년 미만,1,20,20.0,0,0.0,0,0.0,19502933.0,2020-10-20,KEDSYS
2015-11,서울,강남구,삼성1동,Q,Q86,보건업 및 사회복지 서비스업,보건업,4,소기업,1,1년 이상 2년 미만,1,8,8.0,0,0.0,1,1.0,20869333.0,2020-10-20,KEDSYS
2015-11,서울,강남구,삼성2동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,10,10년 이상 20년 미만,1,8,8.0,0,0.0,0,0.0,17822667.0,2020-10-20,KEDSYS
2015-11,서울,중구,청구동,Q,Q86,보건업 및 사회복지 서비스업,보건업,4,소기업,10,10년 이상 20년 미만,1,17,17.0,0,0.0,0,0.0,30198745.0,2020-10-20,KEDSYS
2015-11,서울,강남구,대치2동,Q,Q86,보건업 및 사회복지 서비스업,보건업,4,소기업,0,1년 미만,1,3,3.0,3,3.0,0,0.0,36040000.0,2020-10-20,KEDSYS
2015-11,서울,강남구,대치2동,Q,Q86,보건업 및 사회복지 서비스업,보건업,4,소기업,99,미분류,1,7,7.0,0,0.0,0,0.0,34680000.0,2020-10-20,KEDSYS
2015-11,서울,강남구,대치2동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,1,1,1.0,0,0.0,0,0.0,0.0,2020-10-20,KEDSYS
2015-11,서울,중구,신당동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,5,5년 이상 10년 미만,1,2,2.0,0,0.0,0,0.0,0.0,2020-10-20,KEDSYS
2015-11,서울,강남구,개포2동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,1,6,6.0,2,2.0,1,1.0,7853778.0,2020-10-20,KEDSYS
2015-11,서울,강남구,도곡1동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,1,12,12.0,0,0.0,0,0.0,7036667.0,2020-10-20,KEDSYS
2015-11,서울,중구,을지로동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,3,중기업,5,5년 이상 10년 미만,1,50,50.0,1,1.0,1,1.0,24522880.0,2020-10-20,KEDSYS
2015-11,서울,중구,을지로동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,5,5년 이상 10년 미만,1,9,9.0,1,1.0,1,1.0,19919704.0,2020-10-20,KEDSYS
2015-11,서울,중구,을지로동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,50,50년 이상 60년 미만,1,5,5.0,0,0.0,0,0.0,37343467.0,2020-10-20,KEDSYS
2015-11,서울,강남구,역삼1동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,3,중기업,2,2년 이상 5년 미만,1,9,9.0,0,0.0,0,0.0,30707259.0,2020-10-20,KEDSYS
2015-11,서울,강남구,역삼1동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,1,1년 이상 2년 미만,1,2,2.0,0,0.0,1,1.0,0.0,2020-10-20,KEDSYS
2015-11,서울,강남구,역삼1동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,3,4,1.33,0,0.0,2,0.67,0.0,2020-10-20,KEDSYS
2015-11,서울,강남구,역삼1동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,5,5년 이상 10년 미만,1,5,5.0,0,0.0,0,0.0,21030933.0,2020-10-20,KEDSYS
2015-11,서울,중구,장충동,Q,Q86,보건업 및 사회복지 서비스업,보건업,4,소기업,5,5년 이상 10년 미만,1,52,52.0,0,0.0,1,1.0,34953744.0,2020-10-20,KEDSYS
2015-11,서울,중구,장충동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,1,2,2.0,0,0.0,0,0.0,0.0,2020-10-20,KEDSYS
2015-11,서울,강남구,개포4동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,5,5년 이상 10년 미만,1,10,10.0,1,1.0,0,0.0,19038933.0,2020-10-20,KEDSYS
2015-11,서울,중구,소공동,Q,Q86,보건업 및 사회복지 서비스업,보건업,4,소기업,20,20년 이상 30년 미만,1,11,11.0,0,0.0,0,0.0,32133333.0,2020-10-20,KEDSYS
2015-11,서울,중구,소공동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,98,판단제외,10,10년 이상 20년 미만,1,14,14.0,0,0.0,0,0.0,25744571.0,2020-10-20,KEDSYS
2015-11,서울,중구,다산동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,3,중기업,20,20년 이상 30년 미만,1,58,58.0,1,1.0,4,4.0,26382943.0,2020-10-20,KEDSYS
2015-11,서울,중구,다산동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,2,28,14.0,1,0.5,0,0.0,25736962.0,2020-10-20,KEDSYS
2015-11,서울,중구,다산동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,5,5년 이상 10년 미만,1,6,6.0,0,0.0,0,0.0,23719556.0,2020-10-20,KEDSYS
2015-11,서울,중구,필동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,3,중기업,0,1년 미만,1,11,11.0,0,0.0,1,1.0,11061818.0,2020-10-20,KEDSYS
2015-11,서울,중구,필동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,10,10년 이상 20년 미만,1,4,4.0,1,1.0,1,1.0,12216000.0,2020-10-20,KEDSYS
2015-11,서울,중구,필동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,98,판단제외,2,2년 이상 5년 미만,1,59,59.0,0,0.0,0,0.0,39557966.0,2020-10-20,KEDSYS
2015-11,서울,중구,동화동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,5,5년 이상 10년 미만,1,15,15.0,0,0.0,0,0.0,13905956.0,2020-10-20,KEDSYS
2015-11,서울,중구,명동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,3,중기업,30,30년 이상 40년 미만,1,27,27.0,1,1.0,0,0.0,34764148.0,2020-10-20,KEDSYS
2015-11,서울,중구,명동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,0,1년 미만,1,1,1.0,1,1.0,0,0.0,0.0,2020-10-20,KEDSYS
2015-11,서울,중구,명동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,1,12,12.0,2,2.0,1,1.0,25165333.0,2020-10-20,KEDSYS
2015-11,서울,중구,명동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,5,5년 이상 10년 미만,2,23,11.5,0,0.0,0,0.0,29117579.5,2020-10-20,KEDSYS
2015-11,서울,중구,명동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,10,10년 이상 20년 미만,1,5,5.0,0,0.0,0,0.0,32821867.0,2020-10-20,KEDSYS
2015-11,서울,중구,명동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,20,20년 이상 30년 미만,1,3,3.0,0,0.0,0,0.0,35771556.0,2020-10-20,KEDSYS
2015-11,서울,중구,광희동,Q,Q86,보건업 및 사회복지 서비스업,보건업,2,중견기업,5,5년 이상 10년 미만,1,869,869.0,15,15.0,10,10.0,40057074.0,2020-10-20,KEDSYS
2015-11,서울,광진구,자양4동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,1,0,0.0,0,0.0,0,0.0,0.0,2020-10-20,KEDSYS
2015-11,서울,동작구,노량진제1동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,50,50년 이상 60년 미만,1,26,26.0,0,0.0,1,1.0,29759077.0,2020-10-20,KEDSYS
2015-11,서울,구로구,구로5동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,5,5년 이상 10년 미만,1,6,6.0,0,0.0,0,0.0,13896000.0,2020-10-20,KEDSYS
2015-11,서울,노원구,공릉2동,Q,Q86,보건업 및 사회복지 서비스업,보건업,2,중견기업,5,5년 이상 10년 미만,1,1361,1361.0,20,20.0,12,12.0,42304280.0,2020-10-20,KEDSYS
2015-11,서울,동작구,상도제1동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,5,5년 이상 10년 미만,1,3,3.0,0,0.0,0,0.0,21163556.0,2020-10-20,KEDSYS
2015-11,서울,노원구,하계1동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,10,10년 이상 20년 미만,1,5,5.0,0,0.0,0,0.0,22216533.0,2020-10-20,KEDSYS
2015-11,서울,구로구,오류제2동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,1,3,3.0,0,0.0,0,0.0,23000000.0,2020-10-20,KEDSYS
2015-11,서울,구로구,오류제2동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,40,40년 이상 50년 미만,1,4,4.0,0,0.0,0,0.0,31302000.0,2020-10-20,KEDSYS
2015-11,서울,구로구,개봉1동,Q,Q86,보건업 및 사회복지 서비스업,보건업,3,중기업,10,10년 이상 20년 미만,1,1,1.0,0,0.0,0,0.0,0.0,2020-10-20,KEDSYS
2015-11,서울,구로구,개봉1동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,1,37,37.0,4,4.0,4,4.0,10435460.0,2020-10-20,KEDSYS
2015-11,서울,구로구,오류1동,Q,Q86,보건업 및 사회복지 서비스업,보건업,4,소기업,0,1년 미만,1,56,56.0,0,0.0,1,1.0,24546429.0,2020-10-20,KEDSYS
2015-11,서울,구로구,오류1동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,0,1년 미만,1,3,3.0,0,0.0,0,0.0,18608000.0,2020-10-20,KEDSYS
2015-11,서울,노원구,상계1동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,1,1년 이상 2년 미만,1,1,1.0,0,0.0,0,0.0,0.0,2020-10-20,KEDSYS
2015-11,서울,동작구,신대방1동,Q,Q86,보건업 및 사회복지 서비스업,보건업,4,소기업,5,5년 이상 10년 미만,1,66,66.0,4,4.0,2,2.0,26955838.0,2020-10-20,KEDSYS
2015-11,서울,노원구,상계1동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,2,4,2.0,0,0.0,0,0.0,16019333.0,2020-10-20,KEDSYS
2015-11,서울,구로구,오류2동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,5,5년 이상 10년 미만,1,3,3.0,0,0.0,0,0.0,24808000.0,2020-10-20,KEDSYS
2015-11,서울,금천구,독산1동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,40,40년 이상 50년 미만,1,25,25.0,1,1.0,0,0.0,15942187.0,2020-10-20,KEDSYS
2015-11,서울,도봉구,도봉2동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,3,중기업,0,1년 미만,1,90,90.0,0,0.0,3,3.0,12124800.0,2020-10-20,KEDSYS
2015-11,서울,도봉구,도봉2동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,1,2,2.0,0,0.0,0,0.0,0.0,2020-10-20,KEDSYS
2015-11,서울,동작구,대방동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,0,1년 미만,1,1,1.0,0,0.0,0,0.0,0.0,2020-10-20,KEDSYS
2015-11,서울,동작구,대방동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,1,1,1.0,0,0.0,0,0.0,0.0,2020-10-20,KEDSYS
2015-11,서울,구로구,구로3동,Q,Q86,보건업 및 사회복지 서비스업,보건업,4,소기업,0,1년 미만,1,6,6.0,3,3.0,2,2.0,33013778.0,2020-10-20,KEDSYS
2015-11,서울,구로구,구로3동,Q,Q86,보건업 및 사회복지 서비스업,보건업,4,소기업,2,2년 이상 5년 미만,1,8,8.0,2,2.0,0,0.0,29216667.0,2020-10-20,KEDSYS
2015-11,서울,구로구,구로3동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,1,23,23.0,1,1.0,0,0.0,21724870.0,2020-10-20,KEDSYS
2015-11,서울,노원구,상계6.7동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,0,1년 미만,2,6,3.0,0,0.0,1,0.5,9111466.5,2020-10-20,KEDSYS
2015-11,서울,동작구,상도4동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,40,40년 이상 50년 미만,1,26,26.0,0,0.0,0,0.0,32961846.0,2020-10-20,KEDSYS
2015-11,서울,노원구,중계2.3동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,1,7,7.0,0,0.0,0,0.0,25651429.0,2020-10-20,KEDSYS
2015-11,서울,동작구,흑석동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,5,5년 이상 10년 미만,1,9,9.0,1,1.0,2,2.0,13122074.0,2020-10-20,KEDSYS
2015-11,서울,노원구,상계5동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,0,1년 미만,2,26,13.0,2,1.0,1,0.5,9181166.5,2020-10-20,KEDSYS
2015-11,서울,도봉구,방학1동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,5,5년 이상 10년 미만,1,14,14.0,1,1.0,1,1.0,14275238.0,2020-10-20,KEDSYS
2015-11,서울,구로구,구로4동,Q,Q86,보건업 및 사회복지 서비스업,보건업,4,소기업,2,2년 이상 5년 미만,1,4,4.0,0,0.0,0,0.0,18863333.0,2020-10-20,KEDSYS
2015-11,서울,구로구,구로4동,Q,Q86,보건업 및 사회복지 서비스업,보건업,4,소기업,5,5년 이상 10년 미만,1,0,0.0,0,0.0,0,0.0,0.0,2020-10-20,KEDSYS
2015-11,서울,금천구,가산동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,2,2년 이상 5년 미만,1,21,21.0,0,0.0,0,0.0,26066794.0,2020-10-20,KEDSYS
2015-11,서울,금천구,가산동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,5,5년 이상 10년 미만,1,1,1.0,0,0.0,0,0.0,0.0,2020-10-20,KEDSYS
2015-11,서울,금천구,가산동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,4,소기업,10,10년 이상 20년 미만,1,0,0.0,0,0.0,0,0.0,0.0,2020-10-20,KEDSYS
2015-11,서울,금천구,가산동,Q,Q87,보건업 및 사회복지 서비스업,사회복지 서비스업,98,판단제외,20,20년 이상 30년 미만,1,40,40.0,5,5.0,0,0.0,28823800.0,2020-10-20,KEDSYS
